               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071063,            0.025883,            0.033494,          0.00036917,             0.10438,          0.00020788,            5.74e-05,            0.040713,            0.012026,            0.019903,             0.07027,           0.0033033,           0.0033033
                   1,            0.056928,            0.024222,            0.031217,           0.0015553,             0.33627,           0.0012155,          0.00032692,            0.041004,            0.010053,            0.025252,            0.040264,           0.0066301,           0.0066301
                   2,            0.054676,            0.023165,            0.032569,            0.002521,             0.62228,           0.0048285,           0.0011162,            0.041584,           0.0053202,            0.043467,            0.010251,           0.0099502,           0.0099502
                   3,            0.051185,            0.021729,            0.032001,             0.56063,             0.10805,             0.05513,            0.013295,            0.035054,           0.0098755,            0.027502,           0.0099703,           0.0099703,           0.0099703
                   4,            0.048309,            0.020615,            0.030965,           0.0017795,             0.52905,           0.0035985,          0.00068333,            0.033752,           0.0062762,             0.01907,           0.0099703,           0.0099703,           0.0099703
                   5,            0.044229,            0.020878,            0.030382,          0.00047441,            0.081297,          0.00073273,          0.00010851,            0.040818,            0.004554,            0.019243,           0.0099604,           0.0099604,           0.0099604
                   6,              0.0386,            0.021164,            0.030922,           0.0019309,             0.20253,           0.0014544,          0.00044603,            0.022247,           0.0092647,            0.019468,           0.0099505,           0.0099505,           0.0099505
                   7,            0.033626,             0.02142,            0.031088,            0.091681,             0.26645,            0.071967,            0.028887,            0.016231,           0.0081168,            0.018899,           0.0099406,           0.0099406,           0.0099406
                   8,            0.032596,            0.021197,             0.03199,             0.16493,             0.12229,             0.13772,            0.057182,            0.016083,           0.0071387,            0.018964,           0.0099307,           0.0099307,           0.0099307
                   9,            0.027889,            0.019293,             0.03032,             0.23987,             0.37062,             0.20533,             0.10004,            0.013129,           0.0063152,            0.018974,           0.0099208,           0.0099208,           0.0099208
                  10,            0.026805,            0.018364,            0.030869,             0.24937,             0.50404,             0.24206,             0.13312,            0.013821,            0.005631,            0.018699,           0.0099109,           0.0099109,           0.0099109
                  11,             0.02498,            0.017151,            0.030189,             0.24119,             0.65978,             0.26584,             0.15235,            0.012824,           0.0053205,            0.018896,            0.009901,            0.009901,            0.009901
                  12,            0.024652,            0.016715,            0.030256,               0.243,             0.62353,             0.26825,             0.16439,               0.013,           0.0049809,            0.018452,           0.0098911,           0.0098911,           0.0098911
